Method,I03.bmp,I04.bmp,I06.bmp,I08.bmp,I19.bmp
brisque,94.642100000000000,-0.107618000000000,0.992889000000000,5.358270000000000,72.261700000000000
ckdn,0.2833,0.5767,0.6367,0.658,0.5999
cw_ssim,0.2763,0.9996,1.0,0.9068,0.8658
dists,0.4742,0.1424,0.06825,0.02867,0.3123
fsim,0.689,0.9702,0.9927,0.9575,0.822
gmsd,0.220347639470143,0.0005220585050504579,0.0004482814810014102,0.134631933046914,0.204996493556054
lpips,0.7237,0.2572,0.05079,0.05205,0.4253
ms_ssim,0.6733,0.9996,0.9998,0.9566,0.8462
niqe,15.7536293917814,3.65492152353770,3.23547743716998,3.18403333858339,8.63519663862637
nlpd,0.561610096893874,0.019534798560102,0.015915631543598,0.302802106557736,0.432604962261603
psnr,21.11,20.99,27.01,23.3,21.62
ssim,0.6993,0.9978,0.9989,0.9669,0.6519
vif,0.0172,0.9891,0.9924,0.9103,0.1745
vsi(opt),0.9139,0.9620,0.9922,0.9571,0.9262
nrqm,1.3894,8.9394,8.9735,6.8290,6.3120
pi,11.9235,3.0720,2.6180,2.8074,6.7713
ilniqe,113.4801,23.9968,19.9750,22.4493,56.6721
musiq,12.494,75.332,73.429,75.188,36.938
musiq-ava,3.398,5.648,4.635,5.186,4.128
musiq-koniq,12.494,75.332,73.429,75.188,36.938
musiq-paq2piq,46.035,72.660,73.625,74.361,69.006
musiq-spaq,17.685,70.492,78.740,79.015,49.105
paq2piq,44.1340,73.6015,74.3297,76.8748,70.9153
