Image name,MOS,Brightness,Colorfulness,Contrast,Noisiness,Sharpness,Animal,Cityscape,Human,Indoor scene,Landscape,Night scene,Plant,Still-life,Others,Focal length,F-number,Exposure time,ISO,Brightness,Flash,Time0,Time1
00001.jpg,48.86,47.43,55.57,55.71,37.86,42.57,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.333333,0.0,4.2,1.7,0.1,200,-1.21,0,-0.965926,-0.258819
00002.jpg,62.5,55.38,67.13,53.13,57.5,47.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4.04,2.0,0.05,400,3.0,0,-1.0,0.0
00003.jpg,77.25,62.38,72.63,65.75,72.25,82.71,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.225,2.0,0.001292,100,0.0,0,-0.866025,-0.5
00004.jpg,67.0,68.43,69.43,67.0,67.86,63.29,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,0.333333,0.0,4.5,2.2,0.03,320,0.0,0,-0.866025,-0.5
00005.jpg,22.71,54.29,62.14,51.0,38.43,15.57,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,3.66,2.2,0.03003,57,0.0,0,-0.866025,0.5
00006.jpg,33.17,23.83,48.0,46.43,63.71,47.29,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,3.83,2.2,0.001953,100,0.0,0,-0.965926,-0.258819
00007.jpg,73.0,73.11,71.89,75.89,78.0,76.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.99,1.8,0.01,25,5.65563,0,-0.866025,-0.5
00008.jpg,20.14,33.86,50.71,37.14,38.86,13.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.99,1.8,6.2e-05,20,12.693529,0,-0.5,-0.866025
00009.jpg,12.5,40.75,51.63,31.71,39.5,8.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.93,2.2,0.04,899,0.0,0,-0.866025,-0.5
00010.jpg,56.25,49.75,63.38,57.38,57.63,65.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.66,2.2,0.03003,319,0.0,0,-1.0,0.0
00011.jpg,63.13,60.13,64.13,65.5,74.57,70.63,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2.2,0.00104,50,0.0,0,-0.707107,-0.707107
00012.jpg,20.14,14.71,43.88,29.75,41.75,45.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.57,2.0,0.030303,200,0.0,0,0.5,-0.866025
00013.jpg,25.0,31.0,51.43,39.14,28.57,26.14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,2.2,0.04,400,0.0,0,-0.866025,0.5
00014.jpg,5.83,7.0,13.43,10.0,23.14,9.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.15,2.2,5e-05,32,8.366009,0,-0.258819,-0.965926
00015.jpg,29.11,60.33,52.0,52.44,39.44,17.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,2.2,0.007874,25,7.108441,0,-0.707107,-0.707107
00016.jpg,76.14,76.57,74.71,76.86,76.57,77.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.04,2.0,0.04,100,3.0,0,-0.866025,-0.5
00017.jpg,56.29,63.0,67.57,66.0,64.14,61.29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.2,1.7,0.01,100,3.12,0,-0.707107,-0.707107
00018.jpg,31.57,57.14,58.14,60.29,41.43,29.14,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,4.8,2.2,0.030303,40,3.71,0,-0.258819,-0.965926
00019.jpg,70.57,67.0,63.14,71.86,70.14,72.29,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,3.83,2.2,0.008338,155,0.0,0,-0.866025,-0.5
00020.jpg,59.88,54.88,73.38,67.25,64.13,58.13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.2,1.7,0.01,320,1.58,0,-1.0,0.0
00021.jpg,74.13,76.71,82.29,77.5,75.88,79.29,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.95,1.6,2.7e-05,800,0.0,0,-0.707107,-0.707107
00022.jpg,58.75,51.88,66.25,64.75,60.13,60.88,0.0,0.0,0.333333,0.333333,0.0,0.333333,0.0,0.0,0.0,4.04,2.0,0.05,700,3.0,0,-1.0,0.0
00023.jpg,44.13,32.25,61.75,43.75,56.13,53.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.83,2.2,0.05,771,0.0,0,-0.707107,-0.707107
00024.jpg,36.75,55.38,62.63,53.63,51.13,28.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.82,1.8,0.04,800,0.0,0,-0.866025,-0.5
00025.jpg,56.0,51.5,61.0,58.0,43.25,42.75,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.7,2.2,0.008331,196,0.0,0,-0.5,-0.866025
00026.jpg,71.43,70.57,69.57,72.43,75.0,76.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.04,2.0,0.01,100,0.0,0,-0.866025,-0.5
00027.jpg,48.88,52.75,59.88,61.63,46.75,52.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,2.2,0.083333,2700,0.0,0,-0.5,0.866025
00028.jpg,8.86,42.29,47.29,41.71,29.14,5.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.79,2.0,0.040002,400,0.0,0,-0.258819,-0.965926
00029.jpg,16.86,48.43,44.43,49.0,26.29,14.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.82,1.8,0.008403,100,0.0,0,-0.965926,-0.258819
00030.jpg,41.0,48.57,63.14,50.43,28.57,19.33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.66,2.2,0.01,98,0.0,0,-0.707107,-0.707107
