ref_name,dist_name,mos,std
I01.BMP,I01_01_1.bmp,5.51429,0.13013
I01.BMP,i01_01_2.bmp,5.56757,0.16008
I01.BMP,i01_01_3.bmp,4.94444,0.15186
I01.BMP,i01_01_4.bmp,4.37838,0.11046
I01.BMP,i01_01_5.bmp,3.86486,0.10229
I01.BMP,i01_02_1.bmp,6.02857,0.16896
I01.BMP,i01_02_2.bmp,6.10811,0.17001
I01.BMP,i01_02_3.bmp,5.38889,0.16795
I01.BMP,i01_02_4.bmp,4.71429,0.10358
I01.BMP,i01_02_5.bmp,4.36111,0.13695
I01.BMP,i01_03_1.bmp,4.77143,0.12832
I01.BMP,i01_03_2.bmp,4.27027,0.13594
I01.BMP,i01_03_3.bmp,3.70270,0.10719
I01.BMP,i01_03_4.bmp,3.19444,0.09477
I01.BMP,i01_03_5.bmp,2.71429,0.09537
I01.BMP,i01_04_1.bmp,5.97143,0.13694
I01.BMP,i01_04_2.bmp,5.75676,0.15946
I01.BMP,i01_04_3.bmp,5.27027,0.17368
I01.BMP,i01_04_4.bmp,5.24324,0.16398
I01.BMP,i01_04_5.bmp,4.71429,0.13138
I01.BMP,i01_05_1.bmp,5.91892,0.15934
I01.BMP,i01_05_2.bmp,5.70270,0.17036
I01.BMP,i01_05_3.bmp,5.08333,0.13249
I01.BMP,i01_05_4.bmp,4.13889,0.09744
I01.BMP,i01_05_5.bmp,3.13889,0.09744
I01.BMP,i01_06_1.bmp,4.00000,0.11467
I01.BMP,i01_06_2.bmp,3.89189,0.16566
I01.BMP,i01_06_3.bmp,3.72973,0.10571
I01.BMP,i01_06_4.bmp,3.48571,0.08448
I01.BMP,i01_06_5.bmp,2.94444,0.11072
I01.BMP,i01_07_1.bmp,5.08333,0.15404
I01.BMP,i01_07_2.bmp,4.75000,0.13249
I01.BMP,i01_07_3.bmp,4.00000,0.11111
I01.BMP,i01_07_4.bmp,3.22222,0.11188
I01.BMP,i01_07_5.bmp,2.19444,0.11666
I01.BMP,i01_08_1.bmp,5.18919,0.13151
I01.BMP,i01_08_2.bmp,4.47222,0.13314
I01.BMP,i01_08_3.bmp,3.48649,0.11856
I01.BMP,i01_08_4.bmp,3.00000,0.09035
